Qty,Value,Device,In Cart,Package,Parts,Description,DESCRIPTION2,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,RS_PART_NUMBER,RS_PRICE-STOCK,SPICEPREFIX,VALUE3
1,,USB_MICRO-B_HALF_PTH_MILL,x,USB-MICROB-PTH-MILL,J5,USB Type Micro-B Connector,,,,,,,,,,,CONN-13711,,,,
1,0,MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM,x,TACTILE_SWITCH_SMD_4.6X2.8MM,S2,Momentary Switch (Pushbutton) - SPST - Two Circuits,,,,,,,,,,,SWCH-13065,,,,
1,1.0uF,1.0UF-0402-16V-10%,x,402,C10,1µF ceramic capacitors,,,,,,,,,,,CAP-12417,,,,1.0uF
1,1.0uF,1.0UF-0603-16V-10%-X7R,x,603,C7,1µF ceramic capacitors,,,,,,,,,,,CAP-13930,,,,1.0uF
1,100K,100KOHM-0603-1/16W-1%,x,603,R8,100kΩ resistor,,,,,,,,,,,RES-13495,,,,100K
4,10k,10KOHM-0603-1/10W-1%,x,603,R2,,,,,,,,,,,,,,,,
1,10uF,10UF-0603-6.3V-20%,x,603,C1,10.0µF ceramic capacitors,,,,,,,,,,,CAP-11015,,,,10uF
1,1A/23V/620mV,DIODE-SCHOTTKY-BAT20J,x,SOD-323,D2,Schottky diode,,,,,,,,,,,DIO-11623,,,,1A/23V/620mV
2,1k,1KOHM-0603-1/10W-1%,x,603,R1,,,,,,,,,,,,,,,,
2,300,R-US_R1210W,x,R1210W,R5,,,,,,,,,,,,,,,,
5,301,RESISTOR0603,x,603,R6,,,,,,,,,,,,,,,,
1,5566-10,5566-10,x,5566-10,BTN_CONN,Mini FIT connector 10 pol,,,,,MOLEX,,,,unknown,unknown,,,,,
1,5566-2,5566-2,x,5566-2,BAKE,Mini FIT connector 2 pol,,,,39-30-6025,MOLEX,,,,1822072,unknown,,,,,
1,5k,RESISTOR0603,x,603,R3,Generic Resistor Package,,,,,,,,,,, ,,,, 
1,AP2112K-3.3V,V_REG_LDOSMD,x,SOT23-5,U3,Voltage Regulator LDO,,,,,,,,,,,VREG-12457,,,,
1,BLUE,LED-BLUE0603,x,LED-0603,D3,Blue SMD LED,,,,,,,,,,,DIO-08575,,,,BLUE
1,CP2102N,CP2102N,x,QFN24,U4,,,,,,,,,,,,IC-14020,,,,
3,CPC2030N,CPC2030N,x,SOP254P610X218-8N,K1,,,,,,,,,,,,,,,,
1,ESP32-WROOM-32U,ESP32-WROOM-32U,x,ESP32WROOM32D,IC1,WiFi Modules (802.11) SMD Module,,,,,,,,,,,,,,,
1,"LTV-816_OPTO_ISOLATOR"";LTV-816_OPTO_ISOLATOR""""",LTV-816_4PIN_DIP,x,U1,,,,,,,,,,,,IC-14145,,,,,
1,MBT3904DW1T1,TRANS_NPN_DUAL-MBT3904DW1T1,x,SC70-6,Q2,Dual NPN Transistors in Single Package,,,,,,,,,,,TRANS-13337,,,,
1,RESET,MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM,x,TACTILE_SWITCH_SMD_4.6X2.8MM,S1,Momentary Switch (Pushbutton) - SPST - Two Circuits,,,,,,,,,,,SWCH-13065,,,,